title,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,listing_url,price_per_m2,property_age,floor_group,price_segment,surface_segment,city_district,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
Studio 42m Neuf Maarif Proche BD Biranzaran,980000.0,Casablanca,Maârif,42.0,1.0,1.0,3.0,,https://www.avito.ma/fr/maarif/appartements/Studio_42m_Neuf_Maarif_Proche_BD_Biranzaran_57785117.htm,23333.33,,Mid floor,Mid-range,Small,Casablanca | Maârif,1,1,1,1,1,0,0,0
Studio à vendre 51m² à Gauthier,1000000.0,Casablanca,Gauthier,51.0,1.0,1.0,3.0,,https://www.avito.ma/fr/gauthier/appartements/Studio_%C3%A0_vendre_51m%C2%B2_%C3%A0_Gauthier_57061039.htm,19607.84,,Mid floor,Upper mid-range,Medium,Casablanca | Gauthier,1,1,1,1,1,0,0,0
Exceptionnel avec terrasse et vue mer imprenable,1300000.0,Essaouira,Toute la ville,94.0,2.0,2.0,1.0,,https://www.avito.ma/fr/essaouira/appartements/Exceptionnel_avec_terrasse_et_vue_mer_imprenable_57843907.htm,13829.79,,Low floor,Upper mid-range,Medium,Essaouira | Toute la ville,1,1,1,1,1,0,0,0
Appartement à vendre à Marina Golf Asilah,950000.0,Asilah,Toute la ville,150.0,2.0,1.0,3.0,,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_vendre_%C3%A0_Marina_Golf_Asilah_57769496.htm,6333.33,,Mid floor,Mid-range,Very large,Asilah | Toute la ville,1,1,1,1,1,0,0,0
Appartement à vendre à Oulfa,700000.0,Casablanca,Oulfa,73.0,2.0,2.0,4.0,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_%C3%A0_Oulfa_57712644.htm,9589.04,,Mid floor,Mid-range,Medium,Casablanca | Oulfa,1,1,1,1,1,0,0,0
Appartement à vendre 128 m² à Bouskoura,1300000.0,Bouskoura,Victoria,140.0,3.0,2.0,2.0,,https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Bouskoura_57814586.htm,9285.71,,Low floor,Upper mid-range,Large,Bouskoura | Victoria,1,1,1,1,1,0,0,0
Offre à ne pas rater,960000.0,Agadir,El Houda,,2.0,2.0,5.0,,https://www.avito.ma/fr/el_houda/appartements/Offre_%C3%A0_ne_pas_rater_57798454.htm,,,Mid floor,Mid-range,Unknown,Agadir | El Houda,1,0,1,1,1,0,0,0
Appartement à vendre 52 m² à Marrakech,1200000.0,Marrakech,Guéliz,52.0,1.0,1.0,2.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Marrakech_56035043.htm,23076.92,,Low floor,Upper mid-range,Medium,Marrakech | Guéliz,1,1,1,1,1,0,0,0
Appartement à vendre 133 m² sur 2 mars,1700000.0,Casablanca,2 Mars,133.0,3.0,2.0,4.0,,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_133_m%C2%B2_sur_2_mars_57696869.htm,12781.95,,Mid floor,Upper mid-range,Large,Casablanca | 2 Mars,1,1,1,1,1,0,0,0
Appartement à vendre 78 m² à Tanger,1205099.0,Tanger,Ahlane,78.0,3.0,2.0,1.0,,https://www.avito.ma/fr/ahlane/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Tanger_57262591.htm,15449.99,,Low floor,Upper mid-range,Medium,Tanger | Ahlane,1,1,1,1,1,0,0,0
Appartement à vendre à Berrechid El Qabbah,340000.0,Berrechid,Toute la ville,70.0,2.0,1.0,3.0,,https://www.avito.ma/fr/berrechid/appartements/Appartement_%C3%A0_vendre_%C3%A0_Berrechid_El_Qabbah_57707198.htm,4857.14,,Mid floor,Budget,Medium,Berrechid | Toute la ville,1,1,1,1,1,0,0,0
BEN-MA-1118 - Appartement à vendre à Mansouria-B...,1200000.0,Benslimane,Autre Secteur,98.0,2.0,1.0,2.0,,https://www.avito.ma/fr/autre_secteur/appartements/BEN_MA_1118___Appartement_%C3%A0_vendre_%C3%A0_Mansouria_B____57276565.htm,12244.9,,Low floor,Upper mid-range,Medium,Benslimane | Autre Secteur,1,1,1,1,1,0,0,0
Appartement à vendre 89 m² à Tanger malabata,2136000.0,Tanger,Malabata,89.0,2.0,1.0,3.0,,https://www.avito.ma/fr/malabata/appartements/Appartement_%C3%A0_vendre_89_m%C2%B2_%C3%A0_Tanger_malabata_57316793.htm,24000.0,,Mid floor,Premium,Medium,Tanger | Malabata,1,1,1,1,1,0,0,0
Appartement à vendre 120 m² à Tanger,2500000.0,Tanger,Autre Secteur,165.0,2.0,2.0,0.0,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_%C3%A0_Tanger_57778013.htm,15151.52,,Ground floor,Premium,Very large,Tanger | Autre Secteur,1,1,1,1,1,0,1,0
Appartement à vendre à 3 min du stade de Tanger,970000.0,Tanger,Zemmouri,75.0,2.0,1.0,3.0,,https://www.avito.ma/fr/zemmouri/appartements/Appartement_%C3%A0_vendre_%C3%A0_3_min_du_stade_de_Tanger_57704607.htm,12933.33,,Mid floor,Mid-range,Medium,Tanger | Zemmouri,1,1,1,1,1,0,0,0
Appartement à vendre 70 m² à Kénitra,360000.0,Kénitra,Bir Rami,70.0,2.0,2.0,2.0,,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_K%C3%A9nitra_57722547.htm,5142.86,,Low floor,Budget,Medium,Kénitra | Bir Rami,1,1,1,1,1,0,0,0
CMN-SI-1881 - Appartement à vendre à Bourgogne Est,1800000.0,Casablanca,Bourgogne,103.0,3.0,2.0,2.0,,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1881___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57341638.htm,17475.73,,Low floor,Upper mid-range,Large,Casablanca | Bourgogne,1,1,1,1,1,0,0,0
Appartement à vendre 80 m² à Kénitra,490000.0,Kénitra,Seyad,80.0,2.0,1.0,1.0,,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_57727010.htm,6125.0,,Low floor,Budget,Medium,Kénitra | Seyad,1,1,1,1,1,0,0,0
Appartements à vendre 64 m² à Ben Guerir,300000.0,Ben Guerir,Toute la ville,64.0,3.0,2.0,1.0,,https://www.avito.ma/fr/ben_guerir/appartements/Appartements_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Ben_Guerir_57735424.htm,4687.5,,Low floor,Budget,Medium,Ben Guerir | Toute la ville,1,1,1,1,1,0,0,0
Appartement à vendre en plein centre-ville,1550000.0,Rabat,Hassan,88.0,2.0,2.0,6.0,,https://www.avito.ma/fr/hassan/appartements/Appartement_%C3%A0_vendre_en_plein_centre_ville_57843882.htm,17613.64,,High floor,Upper mid-range,Medium,Rabat | Hassan,1,1,1,1,1,0,0,0
Appartement à vendre 82 m² à Salé (Non Meublé),9200000.0,Salé,Sala El Jadida,82.0,2.0,1.0,4.0,,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Sal%C3%A9__Non_Meubl%C3%A9__57843890.htm,112195.12,,Mid floor,Premium,Medium,Salé | Sala El Jadida,1,1,1,1,1,0,0,0
Appartement à vendre à Ain Sebaa,1070000.0,Casablanca,Aïn Sebaâ,,2.0,1.0,5.0,,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_%C3%A0_Ain_Sebaa_57429036.htm,,,Mid floor,Upper mid-range,Unknown,Casablanca | Aïn Sebaâ,1,0,1,1,1,0,0,0
Appartement neuf à vendre Ain Sebaa,1070000.0,Casablanca,Aïn Sebaâ,81.0,2.0,2.0,6.0,,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_neuf_%C3%A0_vendre_Ain_Sebaa_57342001.htm,13209.88,,High floor,Upper mid-range,Medium,Casablanca | Aïn Sebaâ,1,1,1,1,1,0,0,0
Appartement à vendre 45 m² à Marrakech,880000.0,Marrakech,Victor Hugo,45.0,1.0,1.0,2.0,,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_45_m%C2%B2_%C3%A0_Marrakech_57118825.htm,19555.56,,Low floor,Mid-range,Small,Marrakech | Victor Hugo,1,1,1,1,1,0,0,0
Vente appartement Fal El Hanaa,630000.0,Casablanca,Aïn Sebaâ,59.0,2.0,1.0,3.0,,https://www.avito.ma/fr/ain_sebaa/appartements/Vente_appartement_Fal_El_Hanaa_57111011.htm,10677.97,,Mid floor,Mid-range,Medium,Casablanca | Aïn Sebaâ,1,1,1,1,1,0,0,0
Appartement Maamora Centre Ville Kénitra,1490000.0,Kénitra,Maamora,,2.0,2.0,5.0,,https://www.avito.ma/fr/maamora/appartements/Appartement_Maamora_Centre_Ville_K%C3%A9nitra_57261794.htm,,,Mid floor,Upper mid-range,Unknown,Kénitra | Maamora,1,0,1,1,1,0,0,0
