title,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,listing_url,price_per_m2,property_age,floor_group,price_segment,surface_segment,city_district,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
Duplex vue piscine et mer Taghazout Bay Taourt,3800000.0,Agadir,Tamraght,,2.0,1.0,1.0,,https://www.avito.ma/fr/tamraght/appartements/Duplex_vue_piscine_et_mer_Taghazout_Bay_Taourt_57541355.htm,,,Low floor,Premium,Unknown,Agadir | Tamraght,1,0,1,1,1,0,0,0
Des apt neuf a vendre 85 m2 tanger,1147500.0,Tanger,Marjane,96.0,2.0,2.0,1.0,,https://www.avito.ma/fr/marjane/appartements/Des_apt_neuf_a_vendre_85_m2_tanger_57284651.htm,11953.12,,Low floor,Upper mid-range,Medium,Tanger | Marjane,1,1,1,1,1,0,0,0
STUDIO MAGNIFIQUE À SAISIR,1350000.0,Casablanca,Riviera,48.0,1.0,1.0,3.0,,https://www.avito.ma/fr/riviera/appartements/STUDIO_MAGNIFIQUE_%C3%80_SAISIR_56341164.htm,28125.0,,Mid floor,Upper mid-range,Small,Casablanca | Riviera,1,1,1,1,1,0,0,0
Appartement à vendre 165 m² La perle D'Agadir,2272500.0,Agadir,Talborjt,165.0,4.0,1.0,1.0,,https://www.avito.ma/fr/talborjt/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_La_perle_D_Agadir_56449554.htm,13772.73,,Low floor,Premium,Very large,Agadir | Talborjt,1,1,1,1,1,0,0,0
"Duplex avec garage privé Sidi Maarouf, Essaada",1650000.0,Casablanca,Sidi Maarouf,159.0,2.0,3.0,0.0,,https://www.avito.ma/fr/sidi_maarouf/appartements/Duplex_avec_garage_priv%C3%A9_Sidi_Maarouf__Essaada_57819495.htm,10377.36,,Ground floor,Upper mid-range,Very large,Casablanca | Sidi Maarouf,1,1,1,1,1,0,1,0
"Appartement à El Jadida, quartier El Milha, sur la rue",550000.0,El Jadida,Mouilha,88.0,2.0,1.0,1.0,,https://www.avito.ma/fr/mouilha/appartements/Appartement_%C3%A0_El_Jadida__quartier_El_Milha__sur_la_rue_57335734.htm,6250.0,,Low floor,Mid-range,Medium,El Jadida | Mouilha,1,1,1,1,1,0,0,0
"Bel appartement à vendre Bourgogne, My Youssef",1280000.0,Casablanca,Bourgogne,93.0,2.0,2.0,2.0,,https://www.avito.ma/fr/bourgogne/appartements/Bel_appartement_%C3%A0_vendre_Bourgogne__My_Youssef_57793674.htm,13763.44,,Low floor,Upper mid-range,Medium,Casablanca | Bourgogne,1,1,1,1,1,0,0,0
Appartement 82 m2 résidence Ricoflores piscine,860000.0,Mohammedia,Centre Ville,82.0,2.0,1.0,3.0,,https://www.avito.ma/fr/centre_ville/appartements/Appartement_82_m2_r%C3%A9sidence_Ricoflores_piscine_57355316.htm,10487.8,,Mid floor,Mid-range,Medium,Mohammedia | Centre Ville,1,1,1,1,1,0,0,0
Appartement à vendre 199 m² à Boulevard Zerktouni,3800000.0,Casablanca,Maârif,199.0,3.0,3.0,0.0,,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_199_m%C2%B2_%C3%A0_Boulevard_Zerktouni_57706141.htm,19095.48,,Ground floor,Premium,Very large,Casablanca | Maârif,1,1,1,1,1,0,1,0
"Appartement 124 m² – Centre Ville, Tanger",1800000.0,Tanger,Centre Ville,124.0,3.0,2.0,1.0,,https://www.avito.ma/fr/centre_ville/appartements/Appartement_124_m%C2%B2___Centre_Ville__Tanger_57723798.htm,14516.13,,Low floor,Upper mid-range,Large,Tanger | Centre Ville,1,1,1,1,1,0,0,0
Appartement triplex à vendre 128m² à HM Casablanca,850000.0,Casablanca,Hay Mohammadi,128.0,4.0,2.0,2.0,,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_triplex_%C3%A0_vendre_128m%C2%B2_%C3%A0_HM_Casablanca_57029102.htm,6640.62,,Low floor,Mid-range,Large,Casablanca | Hay Mohammadi,1,1,1,1,1,0,0,0
appartement a vendre meuble,600000.0,Marrakech,Route De Casablanca,52.0,2.0,1.0,4.0,,https://www.avito.ma/fr/route_de_casablanca/appartements/appartement_a_vendre_meuble_57699894.htm,11538.46,,Mid floor,Mid-range,Medium,Marrakech | Route De Casablanca,1,1,1,1,1,0,0,0
Appartement à vendre à Salé 111m² 4ème étage,1215000.0,Salé,Tabriquet,111.0,2.0,2.0,4.0,,https://www.avito.ma/fr/tabriquet/appartements/Appartement_%C3%A0_vendre_%C3%A0_Sal%C3%A9_111m%C2%B2_4%C3%A8me_%C3%A9tage_53227650.htm,10945.95,,Mid floor,Upper mid-range,Large,Salé | Tabriquet,1,1,1,1,1,0,0,0
Appartement 126m² 4ème étg. terrasse à Maârif,1450000.0,Casablanca,Val Fleuri,126.0,2.0,2.0,4.0,,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_126m%C2%B2_4%C3%A8me_%C3%A9tg__terrasse_%C3%A0_Ma%C3%A2rif_56872194.htm,11507.94,,Mid floor,Upper mid-range,Large,Casablanca | Val Fleuri,1,1,1,1,1,0,0,0
