listing_url,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,price_per_m2,property_age,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_181_m%C2%B2_avec_terrasse__Racine_57800891.htm,3100000.0,Casablanca,Racine,181.0,3.0,3.0,0.0,,17127.07,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/annakhil/appartements/Appartement_%C3%A0_Atlas_golf_Resort_%C3%A0_Marrakech_57615030.htm,2100000.0,Marrakech,Annakhil,140.0,2.0,2.0,1.0,,15000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/la%C3%A2youne/appartements/Appartements_%C3%A0_vendre_lotissement_Al_Dha__57697598.htm,390000.0,Laâyoune,Toute la ville,86.0,2.0,1.0,1.0,,4534.88,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/saidia/appartements/Saidia_AP2___Appart_de_118m%C2%B2___proche_du_Golf_57775425.htm,960000.0,Saidia,Toute la ville,118.0,2.0,2.0,1.0,,8135.59,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Oujda_55095473.htm,270000.0,Oujda,Autre Secteur,75.0,4.0,1.0,1.0,,3600.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/aharrarine/appartements/Appartements_%C3%A0_vendre_pr%C3%A8s_de_la_station_routi%C3%A8re_Hararine_57030000.htm,570000.0,Tanger,Aharrarine,60.0,2.0,1.0,3.0,,9500.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/haut_founty/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_Agadir_57712745.htm,1900000.0,Agadir,Haut-Founty,150.0,4.0,2.0,0.0,,12666.67,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_89m%C2%B2_%C3%A0_H_M_Casablanca_55797652.htm,850000.0,Casablanca,Hay Mohammadi,89.0,2.0,2.0,4.0,,9550.56,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Oujda_54392874.htm,350000.0,Oujda,Hay Zitoune,74.0,2.0,1.0,2.0,,4729.73,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/route_de_casablanca/appartements/Rez_de_jardin_%C3%A0_vendre_107_m%C2%B2_vue_sur_piscine_57648716.htm,1900000.0,Marrakech,Route De Casablanca,107.0,2.0,2.0,0.0,,17757.01,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_100_m%C2%B2_%C3%A0_Oujda_56030081.htm,470000.0,Oujda,Centre Ville,100.0,3.0,1.0,1.0,,4700.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Oujda_57359130.htm,290000.0,Oujda,Agdal,130.0,3.0,1.0,2.0,,2230.77,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_83m%C2%B2_salon_3ch_%C3%A0_vendre_Hay_Adil_Casa_55959045.htm,620000.0,Casablanca,Hay Mohammadi,83.0,3.0,1.0,3.0,,7469.88,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/cgi/appartements/Appartement_%C3%A0_vendre_CGI_red%C3%A9housse_55224256.htm,320000.0,Oujda,Cgi,,2.0,1.0,0.0,,,,1,0,1,1,1,0,1,0
https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_124m%C2%B2_Roche_Noire_Casablanca_54971172.htm,1050000.0,Casablanca,Roches Noires,124.0,2.0,2.0,1.0,,8467.74,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/mdiq/appartements/Appartement_%C3%A0_vendre_58_m_Mdiq_4_min_%C3%A0_pied_plage_57822302.htm,490000.0,M'Diq,Toute la ville,58.0,2.0,1.0,1.0,,8448.28,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_57799376.htm,950000.0,Tanger,Centre,75.0,2.0,1.0,6.0,,12666.67,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/sidi_othmane/appartements/Vente_appartement_57844595.htm,660000.0,Casablanca,Sidi Othmane,,2.0,1.0,2.0,,,,1,0,1,1,1,0,0,0
